,obstacle_positions
0,"[[4, 70, 2, 68], [3, 70, 1, 68], [2, 268, 0, 266], [2, 143, 0, 141], [6, 70, 4, 68], [2, 203, 0, 201], [2, 254, 0, 252], [2, 140, 0, 138], [0, 210, -2, 208], [1, 74, -1, 72]]"
1,"[[3, 76, 1, 74], [11, 83, 9, 81], [9, 195, 7, 193], [1, 210, -1, 208]]"
2,"[[0, 115, -2, 113], [0, 229, -2, 227], [14, 219, 12, 217], [3, 50, 1, 48], [13, 131, 11, 129], [12, 87, 10, 85], [11, 125, 9, 123], [10, 90, 8, 88], [1, 99, -1, 97]]"
3,"[[12, 111, 10, 109], [12, 132, 10, 130]]"
4,[]
5,"[[6, 178, 4, 176], [8, 10, 6, 8], [2, 130, 0, 128], [7, 160, 5, 158], [1, 153, -1, 151], [0, 264, -2, 262]]"
6,"[[6, 48, 4, 46], [5, 210, 3, 208], [1, 18, -1, 16], [0, 193, -2, 191], [5, 93, 3, 91], [0, 199, -2, 197], [2, 118, 0, 116], [0, 179, -2, 177], [8, 157, 6, 155], [9, 176, 7, 174]]"
7,"[[4, 160, 2, 158], [14, 217, 12, 215], [10, 150, 8, 148], [11, 131, 9, 129], [15, 257, 13, 255], [2, 132, 0, 130]]"
8,"[[4, 34, 2, 32], [4, 127, 2, 125], [3, 259, 1, 257], [3, 195, 1, 193], [3, 260, 1, 258], [6, 258, 4, 256], [2, 130, 0, 128]]"
9,"[[0, 256, -2, 254], [4, 70, 2, 68], [4, 255, 2, 253], [3, 224, 1, 222], [0, 277, -2, 275], [4, 60, 2, 58], [5, 261, 3, 259], [6, 33, 4, 31], [5, 102, 3, 100]]"
10,"[[1, 184, -1, 182], [4, 103, 2, 101], [0, 111, -2, 109], [5, 162, 3, 160], [0, 199, -2, 197], [0, 133, -2, 131], [0, 22, -2, 20], [5, 208, 3, 206]]"
11,"[[8, 22, 6, 20], [12, 191, 10, 189], [12, 169, 10, 167], [14, 270, 12, 268], [7, 161, 5, 159], [4, 207, 2, 205], [12, 268, 10, 266], [17, 215, 15, 213], [4, 162, 2, 160], [4, 246, 2, 244]]"
12,"[[1, 74, -1, 72], [2, 98, 0, 96], [10, 291, 8, 289], [13, 14, 11, 12], [2, 28, 0, 26], [14, 179, 12, 177], [0, 49, -2, 47], [16, 149, 14, 147]]"
13,"[[3, 6, 1, 4], [0, 92, -2, 90], [1, 199, -1, 197], [2, 248, 0, 246], [5, 26, 3, 24], [0, 228, -2, 226]]"
14,"[[3, 177, 1, 175], [4, 29, 2, 27], [2, 169, 0, 167]]"
15,"[[2, 175, 0, 173], [0, 137, -2, 135], [2, 202, 0, 200], [0, 167, -2, 165], [5, 146, 3, 144], [0, 247, -2, 245], [0, 64, -2, 62]]"
16,"[[13, 23, 11, 21], [0, 134, -2, 132], [14, 179, 12, 177], [2, 71, 0, 69], [12, 215, 10, 213], [0, 101, -2, 99]]"
17,"[[1, 70, -1, 68], [2, 214, 0, 212], [7, 269, 5, 267]]"
18,"[[0, 123, -2, 121], [8, 74, 6, 72], [2, 3, 0, 1], [5, 45, 3, 43], [6, 167, 4, 165], [9, 206, 7, 204], [10, 189, 8, 187]]"
19,"[[3, 87, 1, 85], [0, 204, -2, 202], [4, 103, 2, 101], [0, 141, -2, 139], [4, 53, 2, 51]]"
20,"[[11, 97, 9, 95], [7, 63, 5, 61], [8, 178, 6, 176], [2, 16, 0, 14], [4, 175, 2, 173], [2, 48, 0, 46], [9, 264, 7, 262], [7, 145, 5, 143], [4, 135, 2, 133]]"
21,"[[6, 214, 4, 212], [4, 106, 2, 104], [0, 131, -2, 129], [4, 236, 2, 234], [4, 67, 2, 65], [0, 251, -2, 249]]"
22,"[[12, 231, 10, 229], [2, 149, 0, 147], [11, 231, 9, 229], [15, 222, 13, 220]]"
23,"[[10, 294, 8, 292], [12, 20, 10, 18], [13, 223, 11, 221], [3, 286, 1, 284], [1, 83, -1, 81], [0, 135, -2, 133], [0, 250, -2, 248], [9, 245, 7, 243], [13, 268, 11, 266], [8, 28, 6, 26]]"
24,"[[0, 17, -2, 15], [2, 266, 0, 264], [5, 25, 3, 23], [3, 161, 1, 159], [4, 180, 2, 178], [6, 216, 4, 214], [4, 166, 2, 164]]"
25,"[[6, 148, 4, 146], [6, 103, 4, 101], [8, 279, 6, 277], [0, 224, -2, 222], [5, 226, 3, 224], [0, 239, -2, 237]]"
26,"[[0, 180, -2, 178], [0, 284, -2, 282], [2, 190, 0, 188], [1, 153, -1, 151], [2, 49, 0, 47], [1, 32, -1, 30], [1, 6, -1, 4]]"
27,"[[2, 292, 0, 290]]"
28,"[[1, 240, -1, 238], [0, 114, -2, 112], [1, 116, -1, 114], [2, 37, 0, 35], [1, 270, -1, 268], [0, 196, -2, 194], [2, 278, 0, 276], [2, 274, 0, 272], [1, 194, -1, 192], [1, 23, -1, 21]]"
29,"[[2, 39, 0, 37], [7, 63, 5, 61], [0, 16, -2, 14], [5, 221, 3, 219], [6, 109, 4, 107], [0, 266, -2, 264], [0, 10, -2, 8], [6, 70, 4, 68]]"
30,[]
31,"[[0, 248, -2, 246], [8, 193, 6, 191], [18, 204, 16, 202], [17, 214, 15, 212], [7, 89, 5, 87], [9, 64, 7, 62], [17, 100, 15, 98], [15, 93, 13, 91], [9, 154, 7, 152], [7, 141, 5, 139]]"
32,"[[15, 81, 13, 79], [10, 201, 8, 199], [7, 132, 5, 130], [2, 63, 0, 61], [0, 50, -2, 48], [7, 199, 5, 197], [6, 46, 4, 44]]"
