a,action,reward
0,3,0
1,1,2
2,1,1
3,0,1
4,1,1
5,2,0
6,3,-1
7,1,1
8,2,2
9,1,1
10,1,2
11,2,-1
12,0,3
13,1,-1
14,0,1
15,0,0
16,0,2
17,3,1
18,1,-2
19,1,2
20,1,3
21,3,1
22,0,0
23,1,0
24,2,3
25,3,1
26,0,0
27,1,1
28,0,2
29,2,3
30,0,0
31,2,1
32,1,2
33,3,3
34,1,2
35,2,3
36,1,2
37,2,-3
38,2,1
39,1,0
40,2,-2
41,1,1
42,1,2
43,2,0
44,3,3
45,1,2
46,0,1
47,1,0
48,1,2
49,0,1
50,2,1
51,0,-1
52,1,2
53,2,0
54,2,1
55,3,0
56,2,0
57,2,0
58,2,-1
59,0,1
60,2,0
61,1,1
62,1,2
63,0,-1
64,3,1
65,0,1
66,3,1
67,2,1
68,2,1
69,1,2
70,0,0
71,2,-1
72,0,1
73,2,1
74,0,-3
75,0,0
76,3,-1
77,3,1
78,0,3
79,1,2
80,2,0
81,3,1
82,1,-2
83,3,1
84,1,2
85,2,-4
86,2,-2
87,0,2
88,0,1
89,2,-2
90,1,1
91,2,1
92,0,1
93,3,-1
94,3,0
95,0,-1
96,0,1
97,1,1
98,2,1
99,3,1
100,0,0
101,0,0
102,0,0
103,0,-1
104,1,1
105,1,2
106,2,1
107,2,-2
108,1,1
109,2,-2
110,0,1
111,1,0
112,1,2
113,2,0
114,1,2
115,3,1
116,3,0
117,0,3
118,1,2
119,1,-1
120,2,-1
121,0,1
122,0,1
123,3,1
124,0,1
125,1,2
126,1,1
127,2,1
128,2,0
129,1,1
130,0,0
131,1,1
132,0,-2
133,3,0
134,2,1
135,1,1
136,3,1
137,2,1
138,3,1
139,2,-1
140,3,3
141,1,2
142,1,2
143,3,3
144,2,1
145,1,2
146,2,-4
147,1,2
148,0,0
149,3,1
150,2,0
151,2,1
152,0,2
153,0,1
154,2,1
155,2,1
156,0,-1
157,2,-1
158,2,2
159,1,1
160,1,2
161,3,1
162,3,0
163,1,2
164,1,1
165,3,1
166,0,-1
167,3,1
168,2,0
169,2,1
170,0,0
171,1,1
172,0,1
173,2,2
174,3,-1
175,2,1
176,3,1
177,0,1
178,3,0
179,0,-1
180,3,1
181,3,-2
182,2,-1
183,2,1
184,1,2
185,2,0
186,1,1
187,2,0
188,3,1
189,3,1
190,1,2
191,2,-1
192,2,0
193,0,3
194,0,-4
195,1,2
196,0,1
197,1,3
198,3,1
199,0,0
200,2,-2
201,3,1
202,0,1
203,3,-1
204,1,0
205,0,0
206,2,1
207,2,1
208,2,-2
209,3,0
210,2,0
211,0,1
212,0,2
213,1,1
214,0,0
215,2,1
216,0,-1
217,3,0
218,0,1
219,2,0
220,1,-2
221,0,-2
222,2,0
223,0,1
224,3,1
225,3,0
226,3,1
227,3,1
228,0,1
229,1,2
230,2,-2
231,2,0
232,1,2
233,2,-2
234,1,2
235,1,-1
236,2,0
237,0,1
238,0,-1
239,0,-1
240,2,3
241,2,1
242,3,1
243,0,-3
244,0,1
245,1,-1
246,2,1
247,1,1
248,0,1
249,2,1
250,2,1
251,1,2
252,3,1
253,1,-1
254,0,-1
255,0,1
256,3,1
257,1,2
258,3,-2
259,3,0
260,0,-6
261,0,1
262,3,1
263,1,2
264,0,3
265,2,1
266,2,1
267,2,-4
268,0,-2
269,0,0
270,1,2
271,2,-2
272,0,1
273,1,2
274,3,0
275,1,0
276,0,-1
277,0,3
278,3,2
279,2,-1
