speed,reward
76.854515,1.4
71.78731,1.4
148.13199,0.6
31.56756,1.4
78.29865,0
134.34398,1.4
43.779804,1.4
82.36729,1.4
120.22666,0.6
121.43658,1.4
110.840805,0.6
131.01392,0.6
74.49371,1.4
66.900856,1.4
154.72424,1.4
77.44459,1.4
72.791504,1.4
134.5582,1.4
2.8712177,0.6
152.59648,1.4
2.8733137,1.4
54.618725,1.4
2.9569547,1.4
86.8334,1.4
83.47254,1.4
92.013054,0.6
22.270296,0
160.12445,-0.2
60.479477,0.6
97.88547,1.4
89.80302,1.4
157.45497,1.4
134.4055,1.4
127.09977,0.6
103.48195,1.4
103.87833,1.4
100.85411,1.4
19.985973,1.4
130.60387,0.6
146.41551,1.4
64.02242,1.4
144.45386,1.4
131.1002,0.6
75.558426,1.4
34.875725,1.4
34.493595,1.4
58.860283,1.4
87.60682,1.4
97.090805,0.6
109.83765,1.4
41.147,1.4
39.793327,1.4
59.106342,0
29.47292,1.4
121.57065,0.6
119.50252,1.4
145.8692,1.4
148.78754,-0.2
129.77701,1.4
102.210785,1.4
84.271904,1.4
56.148216,1.4
20.222044,1.4
133.44737,1.4
40.973568,-1
124.59131,-1.8
121.540054,-0.2
120.39031,0.6
115.60969,0.6
123.584114,1.4
149.80963,1.4
33.807507,1.4
57.350277,1.4
85.98121,0.6
85.19635,1.4
89.86866,1.4
32.52017,1.4
122.51874,1.4
42.16845,1.4
66.4607,0.6
132.4611,1.4
61.628544,1.4
90.43884,1.4
91.011894,1.4
93.2488,0.6
34.59639,-0.2
61.00307,1.4
63.47565,1.4
-8.46773,-4.2
68.33701,0.6
73.486336,0
22.764753,1.4
34.886658,-1
150.1629,0
82.38659,1.4
140.98285,-0.2
76.28006,1.4
52.48513,1.4
141.2675,1.4
12.071863,-1
25.780087,0.6
30.231567,1.4
25.890219,1.4
44.853813,-0.2
55.65373,0
64.93713,-1
43.81248,1.4
46.59606,1.4
48.18741,1.4
136.63876,0.6
52.096615,1.4
120.747955,1.4
14.473768,1.4
133.55858,1.4
121.9369,1.4
28.480215,1.4
115.63567,1.4
43.303246,1.4
116.02238,0
110.166176,1.4
12.712957,1.4
7.7001605,-0.8
58.91253,0
111.00697,1.4
59.885914,1.4
71.00856,1.4
38.95147,1.4
148.72934,0.6
-0.6073463,1.4
108.3902,1.4
87.10507,1.4
140.41081,1.4
111.94395,1.4
28.539474,1.4
53.341923,1.4
121.80598,1.4
98.7143,1.4
107.84366,1.4
60.151493,0.6
137.68626,0.6
133.89702,1.4
144.61856,1.4
144.86679,0.6
144.94765,0.6
152.25409,1.4
113.38262,1.4
100.62854,1.4
113.60976,1.4
20.239965,1.4
55.72377,1.4
31.282238,1.4
59.767986,1.4
116.33093,0
84.53872,1.4
21.613039,-0.2
88.93796,1.4
20.532541,1.4
72.31373,1.4
93.63016,1.4
128.27827,1.4
129.18332,1.4
76.426216,1.4
78.74434,1.4
133.89053,1.4
22.724892,0
17.01896,1.4
138.44049,1.4
20.21054,1.4
29.521984,1.4
54.749313,1.4
23.65927,1.4
18.104721,0.6
110.61607,1.4
16.39731,1.4
74.51521,0.6
78.53911,1.4
34.959408,1.4
91.05564,1.4
126.14474,1.4
50.98692,1.4
23.582865,1.4
58.642353,1.4
112.19062,0.6
22.113005,0.6
125.634315,1.4
86.43245,0.6
91.70591,1.4
57.74783,1.4
31.024403,0
68.47715,1.4
56.443092,0.6
44.411453,0.6
13.226152,0.6
26.854557,1.4
32.265533,1.4
98.37958,1.4
122.81575,1.4
107.69075,0.6
92.77653,-1
136.67801,0
93.71643,1.4
120.06965,1.4
83.530266,1.4
8.394143,1.4
96.4234,1.4
26.575277,1.4
115.74184,1.4
-4.141354,0.6
62.8703,1.4
-13.204691,1.4
53.976803,-0.2
122.23913,-1
112.51176,1.4
128.41345,0
77.73669,0.6
35.398785,0
157.38449,1.4
114.88376,0
127.93873,-0.8
33.766273,1.4
71.10163,0
56.299824,0.6
135.12027,1.4
63.02972,1.4
15.749821,0
37.08583,1.4
57.018982,1.4
38.993694,0
56.09334,-0.2
56.145157,0.6
91.37733,1.4
67.455124,1.4
115.28533,0.6
27.686024,-0.2
11.099451,0.6
85.35172,-0.2
87.79129,1.4
41.40527,1.4
55.464153,1.4
134.42105,1.4
46.089054,1.4
133.4382,1.4
121.52304,1.4
64.73811,1.4
111.00963,-0.2
49.415962,0.6
47.192486,1.4
63.26428,1.4
46.521393,-0.8
93.71617,0.6
66.93905,1.4
44.262295,1.4
-2.184852,0.6
145.45404,0
36.429405,0.6
-9.274892,1.4
40.912193,0.6
20.631212,1.4
52.527443,1.4
129.40852,1.4
91.12319,-1.8
134.58754,1.4
121.32025,0.6
78.217224,0.6
108.48438,1.4
35.061962,1.4
31.647991,0
24.807682,1.4
41.699486,1.4
52.793156,1.4
0.8299165,1.4
85.16672,1.4
102.45252,1.4
120.93815,1.4
72.1966,1.4
137.60149,0.6
101.36966,1.4
100.41825,-0.2
13.41062,0.6
32.483387,1.4
69.54318,0.6
75.7677,1.4
38.252132,0.6
126.19037,0
-4.423359,1.4
25.279852,1.4
104.73928,1.4
9.777641,1.4
96.700745,0
9.916643,1.4
23.575241,1.4
66.800804,0.6
124.5881,1.4
