,speed
0,15.97734
1,28.216236
2,49.810356
3,136.79614
4,92.8094
5,106.56402
6,37.494373
7,20.679762
8,3.9995773
9,102.400856
10,142.71526
11,33.247257
12,45.61865
13,111.777374
14,129.55995
15,127.10688
16,90.89307
17,7.472424
18,55.842678
19,22.147306
20,97.5805
21,20.919794
22,28.471584
23,121.9721
24,90.32922
25,97.02157
26,53.602234
27,136.72125
28,119.76194
29,130.71857
30,44.62443
31,120.56048
32,90.0557
33,97.98736
34,111.7448
35,74.241356
36,98.96697
37,65.10551
38,115.60981
39,8.528613
40,58.461395
41,146.5347
42,53.361217
43,139.55534
44,2.8058262
45,15.256031
46,155.27693
47,108.67127
48,126.15794
49,5.677183
50,105.78013
51,27.442348
52,76.04607
53,76.79954
54,70.71571
55,16.294315
56,21.031559
57,150.29822
58,56.517353
59,132.3743
60,93.73034
61,106.020515
62,69.28886
63,13.1583
64,119.16837
65,55.944267
66,4.233212
67,31.148287
68,86.07829
69,156.31822
70,10.007948
71,23.18964
72,91.05339
73,104.8178
74,126.42598
75,105.749435
76,90.87167
77,8.2214575
78,86.9618
79,47.71457
80,117.415565
81,8.082318
82,65.07525
83,88.69191
84,88.22651
85,120.86067
86,5.5311084
87,62.998264
88,149.13292
89,132.63866
90,100.25354
91,59.948833
92,101.43713
93,71.31465
94,117.56924
95,76.06538
96,93.722626
97,55.400562
98,21.031313
99,1.4160603
100,47.211983
101,7.7130527
102,93.55163
103,3.9145863
104,134.48857
105,85.400314
106,20.662127
107,96.69132
108,41.645897
109,99.117836
110,30.455406
111,109.52442
112,104.22177
113,11.202193
114,148.49184
115,54.51658
116,49.045753
117,50.40197
118,124.44918
119,108.54403
120,78.93461
121,24.744036
122,156.1498
123,22.500013
124,48.0952
125,14.775921
126,107.39789
127,132.53442
128,144.43849
129,39.36962
130,41.041046
131,10.834756
132,104.18407
133,145.18321
134,88.08645
135,128.24985
136,139.75761
137,45.26599
138,69.81352
139,54.103745
140,43.15041
141,69.83774
142,11.7819395
143,41.92864
144,132.40254
145,53.013565
146,64.10657
147,93.14932
148,48.014797
149,74.591225
150,63.924328
151,113.8052
152,67.71234
153,58.703632
154,35.76315
155,134.73882
156,11.411146
157,53.33852
158,114.58731
159,39.6026
160,14.723795
161,31.582653
162,27.826008
163,103.674446
164,35.620674
165,116.52163
166,97.72722
167,55.510017
168,29.931229
169,130.66045
170,10.472444
171,90.35476
172,133.19572
173,129.42343
174,130.03029
175,93.745544
176,126.18826
177,103.6533
178,9.368511
179,4.33016
180,21.850367
181,98.29765
182,25.868866
183,78.79615
184,81.706894
185,12.243823
186,23.792349
187,5.652581
188,48.095013
189,97.58501
190,112.15768
191,137.8012
192,136.5218
193,15.68989
194,91.03709
195,65.179504
196,92.00427
197,36.25398
198,103.87566
199,13.121399
200,27.674282
201,88.585495
202,99.22731
203,12.668068
204,47.097057
205,56.946754
206,42.489788
207,30.553825
208,3.9586048
209,104.91312
210,37.50992
211,140.8753
212,49.3969
213,50.99778
214,104.913956
215,39.139904
216,139.19339
217,123.597916
218,154.97124
219,129.42247
220,88.38813
221,10.365296
222,1.5362966
223,135.63593
224,8.204761
225,64.91912
226,39.02443
227,6.6374435
228,142.91058
229,21.227976
230,131.89919
231,77.103615
232,77.401146
233,103.2913
234,41.58383
235,130.98163
236,115.691086
237,132.90042
238,103.171524
239,140.72493
240,81.1729
241,90.37616
242,116.70203
243,112.832634
244,58.145805
245,115.153404
246,13.666779
247,5.068074
248,38.342804
249,122.80122
250,123.17173
251,55.963985
252,9.007796
253,109.620964
254,23.09822
255,54.8281
256,88.97798
257,93.159706
258,37.166763
259,51.89235
260,58.143253
261,123.054
262,81.27306
263,104.32019
264,121.49076
265,110.76308
266,30.966366
267,58.322887
268,61.18663
269,8.808247
270,71.46559
271,77.365974
272,29.900242
273,61.666855
274,99.37406
275,133.87166
276,106.96324
277,14.023928
278,13.325301
279,3.150649
280,23.67745
281,-3.472619
282,49.79016
283,31.757961
284,134.9005
285,81.15848
286,32.753418
287,100.57416
288,119.35404
289,59.87443
290,86.58561
291,37.001827
292,115.455505
293,43.772064
294,77.978
295,13.65062
296,138.13754
297,104.99859
298,132.19534
299,12.692473
300,106.8746
301,-0.19529691
302,72.24453
303,24.236553
304,137.09967
305,13.791637
306,78.03908
307,100.98306
308,115.97092
309,100.09321
310,100.00203
311,11.2260475
312,97.32715
313,28.129658
314,117.1631
315,131.0919
316,140.76654
317,83.66522
318,63.16608
319,109.43502
320,59.910606
321,17.445942
322,62.44279
323,45.51857
324,3.7920804
325,28.242022
326,110.02578
327,33.347103
328,86.60182
329,73.74459
330,73.86998
331,52.833588
332,93.70335
333,24.307697
334,11.799338
335,-1.4963099
336,40.849636
337,33.909195
338,16.735645
339,56.80199
340,5.0554657
341,63.686543
342,54.255775
343,115.90204
344,63.033733
345,36.137405
346,11.5103
347,135.07777
348,93.30875
349,93.921455
350,83.96689
351,41.577938
352,9.48419
353,126.40574
354,29.571596
355,76.79622
356,7.791702
357,118.84286
358,88.07355
359,131.94012
360,56.019997
361,128.27328
362,63.628494
363,96.06316
364,62.9281
365,131.53343
366,74.69544
367,25.507584
368,92.63072
369,78.66348
370,95.56891
371,29.859291
372,55.20475
373,57.830856
374,58.01512
375,73.139114
376,22.203978
377,95.97528
378,140.23111
379,143.61665
380,35.90589
381,49.66416
382,2.5067267
383,72.497185
384,81.64599
385,56.70863
386,38.309887
387,87.84955
388,26.599342
389,142.78868
390,80.34275
391,88.82606
392,24.21401
393,34.631153
394,140.88945
395,79.29147
396,81.30968
397,40.649467
398,122.69049
399,29.89385
400,19.512243
401,45.36028
402,105.90352
403,27.875086
404,95.40637
405,20.123259
406,62.192085
407,72.05328
408,59.025314
409,29.535322
410,28.316269
411,132.99512
412,31.286005
413,14.687287
414,24.683327
415,32.400383
416,2.7988834
417,75.98073
418,142.3433
419,99.83694
420,22.743677
421,32.01807
422,149.09506
423,71.80363
424,84.26592
425,92.17669
426,133.9962
427,91.47885
428,97.39229
429,137.66339
430,119.890396
431,41.33245
432,72.41686
433,34.20567
434,14.084208
435,58.961575
436,32.175922
437,37.206337
438,79.93833
439,112.039696
440,129.06628
441,17.355524
442,32.911484
443,14.556104
444,77.62056
445,132.8378
446,5.0457916
447,53.26111
448,71.223656
449,26.295683
450,71.11505
451,78.4885
452,91.933304
453,40.740852
454,141.06824
455,132.7776
456,142.07088
457,38.404785
458,74.45338
459,122.02422
460,32.596928
461,79.20875
462,75.6936
463,45.01209
464,114.90184
465,48.790592
466,101.870804
467,55.971703
468,30.133492
469,84.30807
470,108.10858
471,36.23118
472,60.33784
473,148.42087
474,31.883713
475,49.127316
476,29.12372
477,105.54477
478,119.84214
479,93.32466
480,147.50452
481,38.750813
482,96.483925
483,91.86488
484,45.99559
485,5.879495
486,96.05356
487,88.679695
488,53.291927
489,59.900917
490,97.19377
491,148.99446
492,84.55091
493,50.67329
494,86.8559
495,87.66866
496,66.35482
497,40.997658
498,38.68992
499,76.84442
500,3.054821
501,121.61378
502,104.839615
503,95.299416
504,8.994851
505,62.477936
506,22.039646
507,95.749016
508,129.93103
509,34.974415
510,2.9205348
511,61.00826
512,99.051254
513,98.90427
514,16.377777
515,81.37432
516,94.70634
517,15.084463
518,87.18453
519,86.56692
520,73.07431
521,35.43689
522,30.505716
523,116.8548
524,85.018585
525,69.86169
526,54.10768
527,6.166342
528,18.224579
529,117.60097
530,21.096304
531,101.759
532,67.91781
533,86.46731
534,36.837032
535,36.20932
536,64.77363
537,112.35615
538,124.88681
539,44.3206
540,90.72679
541,86.76033
542,109.68631
543,28.650337
544,86.54612
545,22.970901
546,17.7873
547,22.397568
548,141.16605
549,12.621863
550,30.432268
551,132.23979
552,124.28734
553,19.008633
554,48.848175
555,6.2045245
556,107.925865
557,99.968544
558,144.26237
559,115.87143
560,82.80314
561,62.842724
562,51.154453
563,125.17483
564,52.1075
565,108.514175
566,143.71617
567,158.53773
568,13.189214
569,118.98702
570,55.71415
571,126.85316
572,119.47027
573,129.89635
574,112.48937
575,97.31292
576,149.71686
577,7.4371595
